Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PP-LOAD-Form-Categories,1000,20306,581,40323,11539.55,0.000%,21.46061,495.39,3.46,23637.5
PP-LOAD-Form-All-Forms,1000,37302,1182,40163,7789.49,0.000%,11.63237,267.87,2.40,23580.3
PP-LOAD-Form-Indicators,1000,39662,12440,40400,2479.15,0.000%,8.02214,187.85,2.95,23978.9
PP-LOAD-Form-All-Form-Metadata,1000,66972,40083,127392,19045.15,0.100%,4.67911,2911.08,1.05,637076.0
PP-LOAD-CreateRequest,1000,29996,1,40882,8120.64,0.700%,4.68792,1.94,2.50,423.6
PP-LOAD-Set-Request-Title,1000,31313,14001,40673,10268.45,0.000%,4.69371,2.26,2.49,493.0
PP-LOAD-Set-Request-Service,1000,32824,12978,40077,9444.91,0.000%,4.71600,1.89,1.95,411.0
PP-LOAD-Set-Request-Initiator,1000,37305,15536,40131,5446.67,0.000%,4.72559,1.95,2.11,422.0
PP-LOAD-ReportBuilder-Request-Main-Page,1000,41662,20790,50665,3042.39,0.000%,4.54936,2833.18,1.03,637710.0
PP-LOAD-ReportBuilder-Workflow-Steps,1000,30682,15016,41171,9024.19,0.000%,4.52229,189.69,0.93,42953.0
PP-LOAD-ReportBuilder-Dependencies,1000,26824,11448,39820,9174.27,0.000%,5.17491,24.76,1.10,4900.0
PP-LOAD-ReportBuilder-Simple-Query-Large-Output,1000,0,0,0,0.00,100.000%,6.51801,12.86,0.00,2020.0
PP-LOAD-ReportBuilder-Complex-Query-Report,1000,0,0,0,0.00,100.000%,6.51801,15.61,0.00,2453.0
TOTAL,13000,30373,0,127392,18899.00,15.446%,29.53800,3106.59,8.01,107696.8
